id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge,nba_career_ppg,nba_career_rpg,nba_career_apg,nba_career_fg_pct,nba_career_three_pct,nba_career_ft_pct,nba_career_spg,nba_career_bpg
robert-covington,Robert Covington,,,,,,0,,,,false,false,false,false,"{""apg"":1.2,""ppg"":14.8,""rpg"":7.4,""fg_pct"":0.476,""ft_pct"":0.802,""three_pct"":0.422}",,Forward,201,95,0.36,Bust (Loteria),10.626,5.53,1.385,0.412,0.361,0.809,1.549,1.01
scoot-henderson,Scoot Henderson,2023,3,2023,2025,82,0,0,0,0,false,false,false,false,"{""apg"":5.4,""ppg"":16.2,""rpg"":5.1,""fg_pct"":0.42,""ft_pct"":0.78,""three_pct"":0.32}",,Guard,188,88,0.78,Promissor,13.32,3.063,5.242,0.401,0.34,0.793,0.906,0.203
scottie-pippen,Scottie Pippen,1987,5,1987,2004,1178,7,7,6,0,false,false,false,false,"{""apg"":4.3,""ppg"":17.2,""rpg"":7.8,""fg_pct"":0.473,""ft_pct"":0.704,""three_pct"":0.326}",,Forward,203,103,0.95,Hall of Fame,16.078,6.362,5.208,0.473,0.326,0.704,1.958,0.804
shaquille-oneal,Shaquille O'Neal,1992,1,1992,2011,1207,15,8,4,1,true,false,false,false,"{""apg"":1.7,""ppg"":22.2,""rpg"":13.2,""fg_pct"":0.627,""ft_pct"":0.604,""three_pct"":0}",,Center,216,147,0.95,Hall of Fame,23.208,10.767,2.46,0.583,0.045,0.527,0.608,2.224
stephen-curry,Stephen Curry,2009,7,,,,10,,,,false,false,false,false,"{""apg"":3.7,""ppg"":25.3,""rpg"":4.5,""fg_pct"":0.467,""ft_pct"":0.876,""three_pct"":0.412}",,Guard,188,84,0.39,Superstar,24.743,4.697,6.374,0.471,0.423,0.911,1.514,0.258
tim-duncan,Tim Duncan,1997,1,1997,2016,1392,15,15,5,2,true,true,false,false,"{""apg"":2.9,""ppg"":16.5,""rpg"":14.7,""fg_pct"":0.604,""ft_pct"":0.688,""three_pct"":0.2}",,Forward-Center,211,113,0.95,Hall of Fame,19.034,10.841,3.035,0.506,0.179,0.696,0.736,2.17
trae-young,Trae Young,2018,5,,,,4,,,,false,false,false,false,"{""apg"":8.7,""ppg"":27.4,""rpg"":3.9,""fg_pct"":0.422,""ft_pct"":0.861,""three_pct"":0.36}",,Guard,185,74,0.39,All-Star,25.3,3.493,9.83,0.433,0.352,0.873,1.046,0.153
tristan-thompson,Tristan Thompson,2011,4,,,,0,,,,false,false,false,false,"{""apg"":1.3,""ppg"":13.1,""rpg"":7.8,""fg_pct"":0.546,""ft_pct"":0.487,""three_pct"":null}",,Center-Forward,206,115,0.31,Veterano sólido,8.18,7.667,0.952,0.52,0.244,0.589,0.458,0.624
tyrese-haliburton,Tyrese Haliburton,2020,12,,,,2,,,,false,false,false,false,"{""apg"":4.7,""ppg"":10.1,""rpg"":4.4,""fg_pct"":0.509,""ft_pct"":0.775,""three_pct"":0.426}",,Guard,196,84,0.36,All-Star,17.129,3.729,8.72,0.476,0.395,0.853,1.522,0.605
victor-wembanyama,Victor Wembanyama,2023,1,2023,2025,82,0,0,0,0,true,false,false,false,"{""apg"":2.8,""ppg"":21.4,""rpg"":10.6,""fg_pct"":0.47,""ft_pct"":0.78,""three_pct"":0.32}","{""apg"":2.4,""ppg"":19.1,""rpg"":9.4,""fg_pct"":0.47}",Center,224,105,0.9,Promissor,22.547,10.778,3.778,0.469,0.339,0.809,1.197,3.675
zion-williamson,Zion Williamson,2019,1,,,,1,,,,false,false,false,false,"{""apg"":2.1,""ppg"":22.6,""rpg"":8.9,""fg_pct"":0.68,""ft_pct"":0.64,""three_pct"":0.338}",,Forward,198,129,0.37,All-Star,24.668,6.612,4.299,0.589,0.327,0.689,1.023,0.645
